+----------+----------+---------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------+--------------+-------------------+------------------+---------------------------------------------+
| ObjectID |  Medium  |            Date           |                                                                     Dimensions                                                                    | DateAcquired |     Department    |  Classification  |                     URL                     |
|  155794  | Drypoint |            2009           |                                 plate: 4 15/16 x 3 3/8" (12.5 x 8.6 cm); sheet: 15 1/2 x 12 1/2" (39.4 x 31.8 cm)                                 |  2012-02-07  | Drawings & Prints |      Print       | http://www.moma.org/collection/works/155794 |
|  150526  | Drypoint |         2003-2004         |                                plate: 8 7/16 x 10 7/8" (21.4 x 27.7 cm); sheet: 15 1/16 x 17 1/16" (38.2 x 43.3 cm)                               |  2012-02-07  | Drawings & Prints |      Print       | http://www.moma.org/collection/works/150526 |
|  72458   | Drypoint |            1995           |                                    plate: 11 7/8 x 8 15/16" (30.1 x 22.7 cm); sheet: 16 1/8 x 11" (41 x 28 cm)                                    |  1996-11-12  | Drawings & Prints |      Print       |  http://www.moma.org/collection/works/72458 |
|  70826   | Drypoint |            1996           |                                  plate: 8 9/16 x 6 1/4" (21.7 x 15.9 cm); sheet: 12 1/2 x 10 1/4" (31 x 26.1 cm)                                  |  1996-11-12  | Drawings & Prints |      Print       |                                             |
|  59479   | Drypoint |            1993           |                                 plate: 16 7/8 x 9 7/8" (42.9 x 25.1 cm); sheet: 25 3/16 x 17 1/16" (64 x 43.4 cm)                                 |  2008-06-18  | Drawings & Prints |      Print       |  http://www.moma.org/collection/works/59479 |
|  61321   | Drypoint |            1994           |                                  plate: 9 3/8 x 7 3/16" (23.8 x 18.2 cm); sheet: 18 7/8 x 13 9/16" (48 x 34.5 cm)                                 |  1997-03-06  | Drawings & Prints |      Print       |  http://www.moma.org/collection/works/61321 |
|  150591  | Drypoint |            2004           |                                   plate: 6 5/8 x 5 15/16" (16.9 x 15.1 cm); sheet: 10 1/4 x 9 1/16" (26 x 23 cm)                                  |  2012-02-07  | Drawings & Prints |      Print       | http://www.moma.org/collection/works/150591 |
|  59473   | Drypoint |            1993           |                                  plate: 8 9/16 x 5 1/4" (21.8 x 13.4 cm); sheet: 16 1/8 x 11 1/4" (41 x 28.6 cm)                                  |  2008-06-18  | Drawings & Prints |      Print       |                                             |
|  150456  | Drypoint |            1999           |                                  plate: 9 11/16 × 3 7/16" (24.6 × 8.8 cm); sheet: 13 3/4 × 7 9/16" (35 × 19.2 cm)                                 |  2012-10-03  | Drawings & Prints |      Print       | http://www.moma.org/collection/works/150456 |
|  100080  | Drypoint |            2003           |                                         plate: 10 x 12" (25.4 x 30.5 cm); sheet: 15 x 17" (38.1 x 43.2 cm)                                        |  2005-06-02  | Drawings & Prints |      Print       | http://www.moma.org/collection/works/100080 |
|          |          |                           |                                                                                                                                                   |              |                   |                  |                                             |
|  70790   | Drypoint |            1989           |                               plate: 6 15/16 x 4 15/16" (17.7 x 12.5 cm); sheet: 19 7/16 x 14 1/8" (49.4 x 35.8 cm)                               |  1993-11-17  | Drawings & Prints |      Print       |  http://www.moma.org/collection/works/70790 |
|  150583  | Drypoint |            2004           |                                  plate: 11 7/16 x 5 7/8" (29 x 15 cm); sheet: 15 1/16 x 8 9/16" (38.3 x 21.7 cm)                                  |  2012-02-07  | Drawings & Prints |      Print       | http://www.moma.org/collection/works/150583 |
|  150681  | Drypoint |            2009           |                                        plate: 9 x 6 7/16" (22.8 x 16.4 cm); sheet: 12 x 9" (30.5 x 22.9 cm)                                       |  2012-10-03  | Drawings & Prints |      Print       | http://www.moma.org/collection/works/150681 |
|  71370   | Drypoint |            1995           |                                  plate: 8 7/16 x 6 1/4" (21.4 x 15.8 cm); sheet: 11 1/4 x 8 15/16" (28 x 22.7 cm)                                 |  1996-11-12  | Drawings & Prints |      Print       |  http://www.moma.org/collection/works/71370 |
|  150703  | Drypoint |          c. 2003          |                                    plate: 4 3/4 x 5 7/8" (12 x 14.9 cm); sheet: 7 5/8 x 8 7/8" (19.4 x 22.5 cm)                                   |  2012-02-07  | Drawings & Prints |      Print       | http://www.moma.org/collection/works/150703 |
|  155810  | Drypoint |            2009           |                                    plate: 9 x 6 3/8" (22.9 x 16.2 cm); sheet: 13 1/2 x 10 1/2" (34.3 x 26.7 cm)                                   |  2012-02-07  | Drawings & Prints |      Print       | http://www.moma.org/collection/works/155810 |
|  84480   | Drypoint |            1999           |  plate: 15 3/4 × 10 15/16" (40 × 27.8 cm); sheet: 14 7/8 x 11 1/8" (37.8 x 28.3 cm) (dimensions reflect full plate size; this is a partial print) |  2008-06-18  | Drawings & Prints |      Print       |  http://www.moma.org/collection/works/84480 |
|  155793  | Drypoint |            2009           |                                 plate: 4 15/16 x 3 3/8" (12.5 x 8.6 cm); sheet: 15 1/2 x 12 1/2" (39.4 x 31.8 cm)                                 |  2012-02-07  | Drawings & Prints |      Print       | http://www.moma.org/collection/works/155793 |
|  150610  | Drypoint |          c. 2005          |                               plate: 6 13/16 × 4 15/16" (17.3 × 12.5 cm); sheet: 11 3/16 × 9 15/16" (28.4 × 25.3 cm)                              |  2012-10-03  | Drawings & Prints |      Print       | http://www.moma.org/collection/works/150610 |
|  59512   | Drypoint |         1999-2000         |                                     plate: 11 7/8 x 9 13/16" (30.2 x 25 cm); sheet: 16 3/16 x 11" (41 x 28 cm)                                    |  2008-06-18  | Drawings & Prints |      Print       |                                             |
|  84317   | Drypoint |            1997           |                                plate: 11 5/8 x 11 5/8" (29.5 x 29.5 cm); sheet: 15 9/16 x 15 9/16" (39.5 x 39.5 cm)                               |  2008-06-18  | Drawings & Prints |      Print       |  http://www.moma.org/collection/works/84317 |
|  150639  | Drypoint |            2008           |                                 plate: 6 15/16 × 4 15/16" (17.6 × 12.6 cm); sheet: 9 7/16 × 8 5/16" (24 × 21.1 cm)                                |  2012-10-03  | Drawings & Prints |      Print       | http://www.moma.org/collection/works/150639 |
|  84280   | Drypoint |            1995           |                                 plate: 15 7/8 x 11 13/16" (40.4 x 30 cm); sheet: 21 1/4 x 15 7/8" (53.9 x 40.3 cm)                                |              | Drawings & Prints |      Print       |  http://www.moma.org/collection/works/84280 |
|  171676  | Drypoint |            2004           |                                    plate: 7 7/8 x 5 13/16" (20 x 14.7 cm); sheet: 11 x 7 3/4" (27.9 x 19.7 cm)                                    |  2013-10-10  | Drawings & Prints |      Print       | http://www.moma.org/collection/works/171676 |
|  84536   | Drypoint |            1999           |                                 plate: 8 7/8 x 11 7/8" (22.5 x 30.2 cm); sheet: 11 1/8 x 15 9/16" (28.2 x 39.5 cm)                                |  2008-06-18  | Drawings & Prints |      Print       |                                             |
|  150546  | Drypoint |            2002           |                                 plate: 8 7/16 × 10 15/16" (21.5 × 27.8 cm); sheet: 9 13/16 × 12 5/8" (25 × 32 cm)                                 |  2012-10-03  | Drawings & Prints |      Print       | http://www.moma.org/collection/works/150546 |
|  116115  | Drypoint |            1992           |                                    plate: 7 5/16 x 5 7/16" (18.6 x 13.8 cm); sheet: 20 1/2 x 15" (52 x 38.1 cm)                                   |  1993-11-17  | Drawings & Prints |      Print       | http://www.moma.org/collection/works/116115 |
|  155785  | Drypoint |            2009           |                                 plate: 4 15/16 x 3 3/8" (12.5 x 8.6 cm); sheet: 15 1/2 x 12 1/2" (39.4 x 31.8 cm)                                 |  2012-02-07  | Drawings & Prints |      Print       | http://www.moma.org/collection/works/155785 |
|  84304   | Drypoint |            1998           |                                plate: 9 15/16 × 9 15/16" (25.3 × 25.2 cm); sheet: 11 13/16 x 11 13/16" (30 x 30 cm)                               |  2008-06-18  | Drawings & Prints |      Print       |  http://www.moma.org/collection/works/84304 |
|  84146   | Drypoint |            2001           |                                     plate: 6 7/8 x 8 3/8" (17.5 x 21.3 cm); sheet: 13 x 13 1/2" (33 x 34.3 cm)                                    |  2002-04-04  | Drawings & Prints |      Print       |  http://www.moma.org/collection/works/84146 |
|  84435   | Drypoint |            1999           |                          plate: 13 11/16 x 16 13/16" (34.8 x 42.7 cm); sheet (irreg.): 19 1/8 x 23 3/8" (48.5 x 59.4 cm)                          |  2008-06-18  | Drawings & Prints |      Print       |  http://www.moma.org/collection/works/84435 |
|  119497  | Drypoint |            2003           |                                plate: 10 7/8 x 8 3/16" (27.7 x 20.8 cm); sheet: 16 1/4 x 10 13/16" (41.3 x 27.5 cm)                               |  2008-10-08  | Drawings & Prints |      Print       | http://www.moma.org/collection/works/119497 |
|  71831   | Drypoint |            1994           |                                   plate: 8 11/16 x 5 1/4" (22 x 13.3 cm); sheet: 12 5/8 x 9 1/4" (32 x 23.5 cm)                                   |  1996-11-12  | Drawings & Prints |      Print       |                                             |
|  142206  | Drypoint |         2002-2008         |                                    plate: 5 7/16 x 7" (13.8 x 17.8 cm); sheet: 10 1/2 x 10 1/4" (26.6 x 26 cm)                                    |  2010-11-10  | Drawings & Prints |      Print       | http://www.moma.org/collection/works/142206 |
|  155808  | Drypoint |            2009           |                                    plate: 9 x 6 3/8" (22.9 x 16.2 cm); sheet: 13 1/2 x 10 1/2" (34.3 x 26.7 cm)                                   |  2012-02-07  | Drawings & Prints |      Print       | http://www.moma.org/collection/works/155808 |
